Key,Target Language,Text,Status,Response
6f68afc5,wolof,"nataal bii de maa ngi ciy gis jëmm joo xam ne dafa toog, sukk ay bëti óomam, yor daraapóo Senegaal bi tàllal ko ci ginaawam.",Approved,3606: 2
35d98a1e,wolof,"nataalu juróom-ñeent-fukkéel ak juróom-ñett bi gis naa ci mbindum nasaraam mu weex. gis naa ci genn góor gu toog, genn góor goo xam ne dafa sukk ñaari tànkam yor daraapóo bi tallal ko ci ginaawam. daraapóo bi am na melo wu wert ak melo wu soon ak melo wu xonq. gis naa ci baagaas yoo xam ne dañ leen a tasaare ci mbedd mi. mu ngi mel ne daal barab la boo xam ne dañ fi doon sànnante ay xeer ak takk-der yi. gis naa fi ay saxaar, gis naa fi ay yoo xam ne dañoo tawam nale ca gannaaw.",Approved,3639: 2
089f5080,wolof,"ñii de ay nit ñu bare nañ, nekk ci bërëb bu yaatu. ay góor la ñu. ñu ngi sol yu blanc, ñu ngi sol mbubu mu blanc ak tubéy ju ñuul. fi nu nekk yaatu na lool.",Approved,3935: 1
ae30532d,wolof,"Nataal bii nag, dafa mel ni benn ñaxtukat moo yëkkati raaya bu Senegaal, jël ko, yëkkati ko ba ci kow di wane niki moom, nanguwul walla li ñu ko teg nag metti na. ""Manifestant"" boobu nag, walla ñaxtukat boobu nag, ci daara ju kowe jii ñu naan UCAD fa lañ koy defe.",Approved,19: 2
3410ab07,wolof,"Lii de ab nataal la boob mel na ne maa ngi ciy gis ay nit ñu bare. Ñu ngi sol ay mbubu yu weex ak i tubéy yu ñuul. Ni ma leen gise nii nag mel na ne am na lu ñuy ñaxtu, am na lu ñuy mettitlu. Ndaxte ñu ngi ci kow ab tali, ñii ngi sukk ñii ngi taxaw tàllal seeniy yoxo.",Approved,3595: 1
4b6eefa2,wolof,"maa ngi gis kenn nit kuy dox ci digg tali bi, yor daraapóo Senegaal. ci ginaawam nit ñaa ngi ko topp, takk ay maska. ci kanamam bare ay xeer loolu.",Approved,2592: 3
9d1ba54a,wolof,"lii benn ""image"" la boo xam ne ay ndaw la woon ""au Sénégal"" yu wàccoon ci tali bi doon manifeste ""affaire Sonko au Sénégal"". am jenn waay ju nekk ci kanam yor daraapóo Senegaal daldi koy yékkati. Mu am mboolu mu bare mu nekk ci ginaaw. mu mel ne polise dañ  fi doon sànni ay lakirimosen ndax saxaar si jóg na.",Approved,2136: 3
96be2890,wolof,"nataal bii de gis naa ci nit ñu baree-bare-bare-bare, am mbooloo. gis na ci am mbooloo. mbooloo moo xam ne kenn ki mu ngi sol yëre yu ñuul ba pare yékkati daraapóo Senegal. ngay gis ag garab, ag garab gu daanu ci tali bi. ñu ngi nekk ci tali bi nag. gis naa ci genn garab gu nekk fale.",Approved,2947: 3
d87d51c4,wolof,"waaw lii ñu gis ci fata bi nag, mi ngi nekk su nu ""affaire"" bi nga xam ne amoon na te ""afeeru Aji Saar bi Waraloon ko. mu nekkoon ab fenomen. moom moo waraloon foto bii nii ""affaire Sonko au Sénégal"". moo nekk nii, bi nu ko woowe doon ko laaj ak yooyu. moom nañ gis ci foto bi.",Approved,3001: 3
102ff1e3,wolof,"Nataal bi dafay wone, walla bind nañ ci suuf mbindum tubaab ""affaire Sonko au Sénégal"". Mu dox ci diggante woon kooku ñuy wax Usmaan Sonko ak sunu mbokki takk-der yi. Saa-senegaal yi génn di feeñal seenug naqar ak ànd gi nu ànd ak moom ngir bañ nooteel. mu mel ne kii dafa yékkati daraapóoy Senegaal, sunu raaya réew ngir wone ne jàmm la ñu bëgg.",Approved,3308: 3
7f0e81a4,wolof,"lii ab nataal la, waaw buy wone ay ñaxtukat yu doon dox ci mbir mi xewoon diggante ak Aji Saar. Waaw, nit ki mi ngi yor nataal bu méngook wirgo réew mi.",Approved,208: 3
10b77b8a,wolof,"Nataal bii boo ko xoolee jën moo ci nekk, jën. Jën nag mi ngi bokk ci kii yi nga xam ne moom na ñuy jëfandikoo ci réew mi.",Approved,3649: 4
e9e9aa78,wolof,"lii jën la, daño bokk ci xeeti mbindéef yi sunu boroom bi bind. Ñuy  dund ci géej, ñoom nag, ci biir géej rekk lañiy mën di dund. Suñu génnee géej gi, dootuñ mëna dund ndax fa lañuy faato. danu koy lekk nag, diko jëfandiko ci bu dee Senegaal. Ci ñam bi muy am mooy ceebu jën, moom la ëpp lu nuy jëfandiko ci réew mi.",Approved,2602: 4
9ed8e622,wolof,"nataal bi ma jot de, gis naa ne ay jën la. Waawaaw, ñaari jën la.",Approved,3700: 4
dcda21d9,wolof,"Nataal bii de, dafa mel ne ay jën la; ñaari jën yu ñu teg ci benn bool, palaat bu weex. mu mel ne jën yi dañoo niróo.",Approved,3648: 4
b0ae640d,wolof,"lii nag ab nataal la. nataal bii yaari jën laa ci gis, yu dendee. Jën bu ci nekk gisees na ca benn bët. ñu dugal leen ci lu mel ne sãru bool.",Approved,3401: 4
8bae80d0,wolof,"waaw nataal bii ñaari jën la yoo xam ne kenn waasaguleen, yu ñu teg ci benn palaat bu weex, boole leen ci. Mooy jën yu gàtt yooyu nga xam ne am nañ ay wirgo yu xaw a ndiróo, yu weex ak yu mel ne yu jëm ci ñuul. jën bu ci nekk am na bët bu ndaw.",Approved,1774: 4
264ced50,wolof,"lii nag ab nataal la. nataal bi nag ñaari jën a ci nekk, ñu ngi leen tek ci palaat. palaat bi nag palaat bu weex la. jën yi kenn waasuleen.",Approved,2218: 4
f4016a4c,wolof,"Lii de mi ngi mel ne ab jën. Jën boo xam ne ci ndox la génne. Jën daal lay gën à ndiru, bu xaw a xonq curr, te xaw a ñuul. Yéeme Na trop sax waaye jën daal lay gën a ndiru. Ni ki keccax daal.",Approved,562: 5
fddc4334,wolof,"Lii nag mu nekk benn jën la, sol. Sol nag ku ko xam, dañ koy faral di déféré fejje. Boo demee bërëb bu barey mool, daana ko daŋ ko fay gis. Dañ koy defar ba mu baax. Leeg-leeg sax ñu yóbbu ko bittim réew.",Approved,19: 5
eff0031e,wolof,"Ñu ngi gis ci nataal bi ñaari jën yu mag yu nga xam ne yu tàcc la. Mën nan jàpp ay jën yu weex la ndax du jënu yaboy, ay jën yu ama-am  dayo lañ",New,549: 5
7e3b4e95,wolof,Lii ñaari jën la. Jën yi ñi ngi dend ñoom ñaar.,New,2685: 5
9db372ec,wolof,"Nataal bi ñaari jën ñoo nekk ci biir. Jën nag rab la boo xam ne dees koy lekk, buy dund ci biir géej bare melokaan nag ci xeeti jën yi nga xam ne am na. Jën wi nag doon jën wu tàppandaar, doonit loo xam ne lu rattax la.",New,2602: 5
e0eb31fa,wolof,"Li ngeen ma yónnee maa ngi gis ab nataal la, boo xamante ni nataal bi ay xeeti jën ñoo ci nekk. Jën yi nag Seen i melokaan mën nanoo jàpp ne mu ñuul la ;  jàpp diggante ñuul ak sokolaa. Jënii nag fi nu nekk dañoo weex tàll...",New,2647: 5
59c3c70e,wolof,"waaw message bii, ab góor ak jigéen la. ñoo si nekk, ku góor ki di wax ak ku jigéen ki. Waaw mu ngi mel ni ni daa am lum koy wax ba mel ni ku xaw a joxoñ daal. waaw. mu ngi sol mbaxane ku jigéen ki mu ngi sol, ... mu ngi sol musóor.",New,208: 1996
22ae34cc,wolof,"bii ab foto la boo xam ni mu ngi ñuy wan ñaari nit. kenn ki góor la, ki  ci des jigéen la. kii nag, ku góor kii di suwekatu tiyaatar bu mag, di Lamin Njaay, ñu gënoon koo xam ca daaray kocc. Ba tay jigéen gi mu jàkkaarlool, moom lañ daan wax Jeewo. Ba tay moom mu ngi génneewoon ci troupe bi nga xam ni moom la ñu daan woowee Daaray kocc. ñoom ñaar ñii di ñi nga xam ni ay suwekatu tiyaatar yu mag a mag lañ fii ci Senegaal.",New,3386: 1996
4177981f,wolof,waaw kooku de Jeewo la ak ku ñuy wax Lamin Njaay. ñoo xam ni ay tiyaatarkat lañ nekkoon Daaray kocc.,New,3385: 1996
da111458,wolof,"Lii de jënu sol la. Sol nañ koy wax. Xamuma turam nag ci wolof waaye xam naa ne ci géej lay nekk te ci suuf si lay faral di suulu. Mooy waral genn gi di lëndëm, ngeneen wet gi di leer.",Approved,9: 5
4556ad60,wolof,"Nataal bii de, lii de daa mel ne ay jën la. Ñaari jën, ñaari jën yu mel ne yu tegaloo nii, ame melo yu xonq curr, ñoo ci nekk.",New,3157: 5
b457d7f7,wolof,Fii de li ma gis ay jën la waaye jën yu tàppandaar la yoo xam ne dañ leen a mel ne ku leen xaw a tegale.,Approved,3448: 5
235750f6,wolof,"Lii de ab nataal la bob yaari jën feeñ. Jën yi nag xamuma seenuw tur. Waaye séen melokaan dafa nekk ci diggante ñuul anaal xonq. Ñoom nag ñu ngi leen di nataale ci lu weex, lu weex tàll. Waaye ñaari yoy bu ci nekk sab bët di feeñ. Am na ci jën woo xam ne sax yaari gëtëm ñoo ngiy feeñ.",Approved,2063: 5
23677856,wolof,"Bismillaah, nataal bii ñu ngi ciy wone ab gejje. Mooy jën wi nga xam ne dañ koy weer ba mu wow koŋ ci naaj beek ngelaw lu.",Approved,2494: 5
2df367e5,wolof,"Waaw Nataal bi ma jot gis naa ne ay jën la waaye nag du jënu yaboy bokkut ak jën yi nuy faral di lekk fii, lekk ko Senegaal. Gis naa itam ne jën yu am wiro gel la waaw ! Gis naa itam ne mel na ne jën Yi dan ko waas ba noppi la waaw!",Approved,3605: 5
0904da08,wolof,"Waaw nataal bii ma jot de niru na ne ay jën la waaye nag niru na ne du jënu yabooy. Bokkut ak jën yii ñuy faral di lekk fii, yu ëpp ci yi ñuy lekk Senegaal. Gis naa ni itam jën yu xonq curr lañ. Waaw gis naa ne dafa mel ne jën yoy waas ba noppi la.",Approved,3605: 5
b96010c8,wolof,"Li ma gis ci nataal bi de moom ñaari jën la, ñaari jën yu dendandoo, ñaari jën yu dendandoo, maa ngi gis ñaari jën yu dendandoo, ñaari jën la de. Jën wi am na ay bët ci kanamam, am na ñaari pax-pax ci kanam, ñaari jën la, am na geen.",Approved,3622: 5
a365caf4,wolof,"Waaw nataal bii li ñu ciy gis mënees nañ wax na ay jën lañ yuy dund ci biir géej. Ñaari jën lañ yoy mënees a wax ñoo bokk benn melo, ñoo niróo.",Approved,3541: 5
9edfad9b,wolof,"Fukkeelu nataal bi ak ñett bi ngeen ma yónne maa ngi ciy seetlu ñaari jën, ñaari jën yoy mel ne ñu dundut.",Approved,3631: 5
037459c3,wolof,"Fii nag genn kilifa la gu jàkkaarlook soxnaam. kilifa gi, ñu di ko wax Lamin Njaay, muy way-jëmmalu kilib bu mag fii ci Senegaal. Moom it mi ngi sol yëre wolof, teg ciy gille, teg ci mbaxana mu ñuul ak it làmboo gu ñuul. Mi ngi wax ak kii di soxnaam, yékkatib loxoom ba koy bëgg mbëj, bëgg koo dóor. Soxna si mi ngi takk ag ceen, sol it yëre bu am ay tup-tup yu xonq, ak bu mboq ak bu mëef. Moom it mi ngi musóoroo lu nées, jàkaarlook boroom kërëm.",Approved,2208: 1996
4b319a22,wolof,"Lii ab nataal la bu def ay yoon, yoon yees defar doon ko ubbi. Njiitu réewu Senegaal defaroon ko te fey lu tolloog fanweeri tamndaret ak juróom-ñaar ay nit ngir ñu teewe ubbite gi. Mu yamoog Alxames ñaar-fukki fan ci weeru deesàmbar ci atum 2018. Yoon waa nga lëkkale Ndakaaru ak Tuuba, nu tudde ko otoruut Illala Tuubaa.",Approved,3572: 1536
a89c2adb,wolof,"Ñu ngi gis ci nataal bi ay boppu jën yu weex yoo xam ne dañoo teglantoo ci wenn wàll wi. Ci weneen wàll wi ñu ngi gis weneen jën woo xam ne wu xaw a mag la, geen gi dalde féete ci yeneen boppu jën yu weex yuñ doon wax leegi.",Approved,549: 6
bfc97867,wolof,"Waa lii nag jën la. Jën la, maanaam jën woo xam ne nu ngi koy woowe waraañ.",Approved,2920: 6
cf11e0c8,wolof,"Lii de ay jën la, ay jën yees toppale. Ñu ngi xulli seen gët yi, daldi tijji seen gémmiñ yi. Ñu daldi leen di tegele nii, daldi leen di toppale. Leegi benn bi, am na ci jën woo xam ne geen gi dafa tege ci gémmiñu wenn jën wi nii ci ginaawam. Ñu daldi leen di toppale nii ci wet gi. Lu ngi mel ne lu am melo wu xonq ci Seen kow, xam naa melo nataal bi rek.",Approved,3031: 6
d8fdfcfc,wolof,"Asalaamu aleykum, lii de ab nataal la. Nataal bii de ay jën ñoo ci nekk. Jën yi de am nañ melo lool, am nañuy gët, am na ñuy gémmiñ. Maa ngi ciy séen melo Wu xonq.",Approved,1865: 6
4db6a466,wolof,"Waaw nataal bii nag gis naa ci ay jën, jën yoo xam ne jën yu xonq nañ. Waaw gis naa ciy jën yu xonq.",Approved,3453: 6
c6eef488,wolof,"Waaw nataal bi ma jot de, gis naa ne ay jën la. Waaye nag jën la yoo xam ne dañoo xonq, am lu weex. Waaye nag seen gët yaa ngi feeñ. Jën yu Bare nañ, jën yu xaw a takku.",Approved,3539: 6
067ba792,wolof,Ñoo ngi seen nataal bi . Benn jën buñ wone. Jën bi nag mel ni jën bu weex la. Waaw ! Jën boo xam ne dan ko wone ci benn nataal boo xam ne ca ginnaaw lépp dafa weex tàll.,New,549: 7
e71425c5,wolof,Lii aw jën la. Jën wi sompaat la.,New,2944: 7
4153a7c1,wolof,Lii aw jën la jën wi sompaat la,Approved,2944: 7
5accb3ee,wolof,Waaw lii de ab nataal la boob aw jën moo ci nekk mi ngi nekk fu weex tàrr nag. Mel na ni nag sax na ay laaf tuuti.,Approved,2822: 7
d297d260,wolof,"Waaw ! Lii de ab nataal la book. Aw jën moo ci nekk . Mu ngi nekk, nekk fu weex tàll nag, mel na ni nag sax na ay laaf tuuti.",New,2822: 7
84f84367,wolof,"Nataal bii maa ngi ciy gis jën maa ngi ciy gis aw jën, aw jën wu kenn toggagul mu mu mu mel ni dafa yore benn bët mais kenn toggagu ko, kenn defagu ko dara.",Approved,3157: 7
1d116076,wolof,Nataal wii aw jën a ci nekk. Jën woo xam ne dafa baaxoo dund ci digg géej.,New,3439: 7
5c41abfd,wolof,"Waaw lii aw jën la, aw jën jën jën boo xam ni moom mi ngi am benn bët, benn bët mi ngi yor benn bët waaw. Ci kaw mi ngi mel ni am ay, am na lu nekk ci kawam, waaw mooy linga xam ni gis nañ ko ci photo bi.",Approved,3004: 7
b6c00b03,wolof,"Nataal bii nag moom aw jën moo ci nekk, jën wi nag dafa xaw a tàppu-ndaar, moom daa doomu-taal am lu marron ci kanam ci mooy ci boori gémmiñ gu, geen bi tamit dafa xaw a ñuul, laaf yi tamit dafa xaw a ñuul am ay xat-xat.",Approved,3473: 7
466481d6,wolof,"Waaw ! Lii aw jën la. Aw jën! Jën, jën boo xam ne moom mu ngi am benn bët, benn bët, mu ngi yor benn bët, waaw! Ci kow mu ngi mel ni am ay ay, am na lu nekk ci kawam noonu. Lii mooy li nga xam ne gis nan ko ci nataal bi.",New,3004: 7
3352ca1f,wolof,"Maa ngi gis ne aw jën laa ci gis woo xam ni, jën wi gis naa ci ginnaaw gu ag geen muy, gis naa ci kaw gi ay genru ay yax yoo xam ne donte ci jën wi la nekk, gis naa ci wet gi lu mel ni ay laaf yoo xam ne ci peggam bi lañ nekk, gis naa bët yi waaye nag jën wi jënu ngot la xaw a niru jënu yaboy waaye du jënu yaboy daal, weneen xeetu jën la woo xam ni bokkutak yaboy.",Approved,3451: 7
51e191eb,wolof,Nataal bii ma jot nag gis naa ni ab jën la. Nataal bi nag jën la boo xam ni kanam gi am na lu soon. Moom nag xaw naa rax tuuti soon ba noppi waaye nag moom ab jën la jën daal lañ ko mën a xame.,Approved,3574: 7
576397af,wolof,"Nataal bi nag maa ngi ciy gis benn jën buñ diseene ci kaw gi am na am bët am na tamit luñuy wax ay, jën wi mi ngi tudd sompaat.",Approved,3571: 7
c4bd44d6,wolof,Nataal bii ma gis gis naa ci benn jën,Approved,3617: 7
83e27ba0,wolof,Nataal bii ma gis gis naa ci benn jën,Approved,3617: 7
9d7f71a8,wolof,Màndarga bi de;  uhuum!  dafa mel ne ni ma ko gise yàpp la.  Xaw ma yàpp nag xaw ma yàppu xar lay doon waaye yàpp la. Teg ko ci kayit ; ci kayit lañ ko laxas. Waawaw! Tabarkalla! Maasàllaa! yàpp bi moom neex naa defar lool de.,New,1862: 13
59edda3f,wolof,"Lii de lanuy tuddee jën, keccax, keccax. Ñu defar ko ba mu pare def si nataal.",New,2622: 13
20176978,wolof,"Lii de ab nataal la. Boo xoolee yaa ngi gis lu mel ne ay kàdd lañ si def, ay matt yun dagg moom la gën a niru.Waaw! Boo xoole am na ay wirgo yu nëtëx yuy feeñ ci ginnaaw, wirgo yu nëtëx yuy feeñ ci ginnaaw. Xaw naa niru ab ndawal, xaw naa niroo itam ab ndawal.",New,1756: 13
46db5c9d,wolof,"Nataal bii dafay wone lu mel niki yàpp, lu mel niki yàpp woo xam ne dañ koo lakk ba mu xonq am ci wet gu tàmbalee ñuul itam. Loolu 
lay niru.",New,2583: 13
b204a51b,wolof,"Lii ma gis nii de : aw yàpp wun làkk la. Waaye nag sooy xool jëmm yàpp wi day mel ni ginaar lay niru. Ñu ngi ko def ci aw kayit, dunq wi dangay gis ay karawi karaw",New,3423: 13
725caba3,wolof,Nataal bii ma gis gis naa ci benn jën.,Approved,3617: 7
df2cd296,wolof,Nataal bii ma gis gis naa ci benn jën.,New,3617: 7
b2d0a7ae,wolof,Nataal bii ma gis gis naa ci benn jën.,Approved,3617: 7
79e5c0a3,wolof,Nataal bii ma gis gis naa ci benn jën.,Approved,3617: 7
50c34b9c,wolof,Nataal bii ma gis gis naa ci benn jën.,Approved,3617: 7
a899b623,wolof,"Nataal bii de aw jën la, gis nee ne jën wi am na ag geen gis naa ci ab bët gis naa ci itam aw yaram yaramu jën wi daa am ay pax",Approved,3028: 8
4109ecba,wolof,"Waaw nataal bii de ñi ngi ciy gis benn mala boo xam ni ci mala yiy dund ci géej ci la bokk, ñu koy wax jën waaw ñi ngi gis mu am benn mu am ab  geen ci ginnaaw ba pare ñi ngi gis benn bët bi tamit mi ngi feeñ ba pare mi ngi nekk foo xam ne doit dafa weex fiñ ko teg daal couleur bu weex la yore.",Approved,3031: 8
a903463b,wolof,"Waaw nataal bi ñoo ngi ciy gis benn jën, nee naa ko benn jën bu rafet nee naa jën bii moom rafet na lool mi ngi am weex ak ñoom seen.",Approved,3375: 8
086b769a,wolof,"Waaw nataal bi ma jot de gis naa ne aw jën la waaw jën wi nag mel na ni waasaguñ ko, mooy jën woo xam ni dañ ko napp rekk andi waaw, mel na ni nag fiñ ko teg fu weex la waaw.",Approved,2651: 8
7ee35f46,wolof,"Waaw nataal bi ma jot de gis naa ne, nataal bi ma jot de gis naa ne ab kii la ab jën la boo xam ni, jën la boo xam ni mel na ni jën bi kenn waasagu ko dañ ko napp rekk andi ko.",Approved,3539: 8
6cc2bcf8,wolof,"Waaw nataal bii de jën woowu ñuy woowe tas moom la, mooy jën wu tàyyeel woowu rekk nga xam ni daa lambu Senegaal a lamb a lamb bé dëgg yàlla pël yi sax dañ koy lekk, pël yi pël yi nga xam ni pël yi sëñ bi liñuy wayadi-wayadi dañuy lekk jën wi.",Approved,3667: 8
c1ab0a12,wolof,"Ñi ngi wane ci nataal bi benn jën, jën bu weex tàll boo xam ni am màndarga boppu jën bi.",Approved,549: 9
79a94d9b,wolof,"Waaw lii aw jën, jën la woo xam ni bari na wirgo lool rafet na lool waaw hã laaf yaa ngi nii waaw li ci kaw muy am waasintóori nga xam ni njaween yi moom bëgg nañ ko lool moom jën mii.",Approved,264: 9
77e7b0b9,wolof,"Waaw lii de ci xeetu jën yi la bokk, jën nag moom géejay dëkkuwaayam waaye du tëb-tëb génn. Nitay dem ba foofa ñu koy wax mool gannaaw ba mu ràbbee mbaalam gannaaw ba mu dàqee gaalam ba ca digg géej ga sànni ko gannaaw bam ca dugalee it lu ko mën a xëcc këppëtal ko ba mu dugg ca mbaal ba mu dugal mbaal ba ca gaal ga génn ak moom nit di ko xéewloo.",Approved,254: 9
d626f2d6,wolof,"Nataal bii mel na ni aw jën la, jën la wu yàgg nag woo xamante ne nii am ci kow lu mel ne, aw...am na lu nekk ci kow, jën la wu mag a mag.",Approved,3648: 9
323832db,wolof,"Waaw lii nag moom, mooy lu ñuy wax tàngal pasti. Moom Senegaal xam nañ ko, muy lu saf mànt lool. Te yit day am suukar su ci kow nga xam ne day wàññi dooley mànt bi, mbokk yi mën ko jëfandikoo.",New,211: 42
250daa37,wolof,"Nataal bii de maa ngi ciy séen pasti, pasti yu vertes, yu ŋëlŋë xaw naa takku, pasti suukar a ngi ca, takku na lool, verte na itam",Approved,3575: 42
67f95007,wolof,"Lii de ab photo la, photo bu, weex na lool de. Am kaas ak kuddu ak plat, ak suukar. Xam naa lii moom kafe la walla sokolaa. Am na ñetti donju suukar yu ci nekk, waaw. Maasàllaa.",Approved,1862: 120
5e719c94,wolof,"Lii de ab kaas la, nataal bii ab kaas lay wane, kaas bu ànda ak lu muy àndal, kuddu beek, ak palaatam, palaat, palaat bu ñuy teg kaas bi. Léegi nag, palaat kii bi nag, kaas bi nag mi ngi yor ci biir ñamu suukar, boobu ñu naan sokolaa, ñamu suukar boobu ñu naan sokolaa moo ci nekk ak beneen bu weex boo xam ne xawma, xawma lu mu doon sax ndax image bi dafa xaw a floue.",New,872: 120
3c7f6063,wolof,Nataal bi aw jën la soo xam ne jën wu baax la ci jën yi moo nekk ci biir nataal bi.,New,3439: 9
b9ff7380,wolof,"Lii nag yéet la. yéet gi nag dan ko daggate. Ci deru yéet bi am na yu am wiro gel, am na yu Ñuul, am  na tamit yu xàll.",New,2179: 16
08664cfb,wolof,"Nataal bi may jéem a xool, lii nag am nu koy wax  sippax. Waaye moom daal  Lu ci Ëpp ci taatu géej lay nekk walla  ci suufu géej ci lay gas ay paxam yu  bare ; moom rab bii.",New,3684: 20
cebfe05a,wolof,"Nataal bi ngeen di gis ni aw, aw, aw, aw rabu àll la woo xam ne taxul mu yaram lool. Dafa tuuti. Wirgo wi dafa  mboq. Mu ngi samp ay tànkam ci suuf si. euuhhh , am na ay bËt tamit. Bokkul ci rab yi nga xam ne xaw nañoo raglu tuuti daal ci bindin.",New,3649: 20
a0467311,wolof,Lii ab nataal la bu ; maa ngi ciy gis lu mel ni jargoñ. Am na tànk yu bari niki ni ko jargoñ yi ame moo tax ma teg ko ko.,Approved,3372: 20
b3d7951b,wolof,"Banaana bu ñu xolli ak banaana bu ñu xolliwul. Banaana bu ñu xolli, boo ko xoole ñaari banaana la, bu ñu xolliwul boo ko xoolee six banaana la. Waaw kay, noonu la deme.",New,3321: 74
f0c297d1,wolof,"Lii may jàkkaarlool ci nataal bi de, pom lañ koy wax, pom, mu nekk pom bu xonk, nekk ñetti pom. Ñaari pom yi bu ci nekk am na ab reenam, bantam. Beneen bi yitam amu ko, amut dara. Waaye beneen bi itam maa ngi gis,  maa ngi gis ci wetu, fi reen bi war a nekk lu verte, maanaam xonkut, xonkut cur daal. Naa ngi ciy gis loo xam ne lu verte la, bind yiñ ci teg itam nekk lu weex.",Approved,2244: 75
40752498,wolof,"Yii nag ay pom la, ñaari pom yoo xamante ni dañu leen teg. Mais mu mel ni pom yu ñoragul lool, ndaxte boo seetee ñu ngi am couleur bu wert lool, mooy firndéel ni dafa mel ni ñoraguñu.",New,19: 76
e0892fac,wolof,"Lii nag, ñam yu bari lañ ci def, ñam yoo xamante ne, yu naturel lool. Ndaxte boo seetee, am na fa ay soble, mu am lu ñuy naan banaana, mu am ay pom, mais nag am na xaal tamit, mu mel ni màngo sax mu ngi ci biir.",New,19: 77
adf6962a,wolof,"Ñu ngi gis ci nataal bi benn palaat bu tege, ñu teg si benn palaatu cere ak benn leket bu ndaw boo xam ne dafa am soow ak benn koog boo xam ne moo nekk ci wet gi.",New,549: 78
3b4303e3,wolof,"Lii de ay xeeti ñam la, man cee lim li nga xam ne moo di soow ak cere, cerey baase.",New,2622: 79
1ee50e70,wolof,Ñu gis ci nataal bi benn leketu soow boo xam ne benn ruuxu mi ngi ci biir ñu ko koy yëngalee ngir tas donju soow yi.,New,549: 80
ee904e2a,wolof,"Ñu ngi gis ci nataal bi as ngóor su góor soo xam ne mi ngi yor palaatam teg ci benn kaasu ataayaam beneen kaas bi mu téye ko di fuural, waaw, di fuural ci ataaya bi.",New,549: 82
76bcfae7,wolof,"Ataaya, naana ak kaas yi ñuy def ataaya ji ak baraada bi ak suukar si ak kow palaat bi ñu ko teg.",New,2490: 83
